study_id,title,author,year,disease,technology,samples,cells,paper_url,data_url,metadata_url,cell_types_url,summary_url,meta_programs_url,cnas_url,umap_url,cell_cycle_url,diseases,technology_raw,data_completeness,cancer_types
20872.0,Sharma et al. 2020,Sharma,2020,HCC,10x,58,73589,https://www.sciencedirect.com/science/article/pii/S0092867420310825,https://www.dropbox.com/scl/fi/7z0e1w0ob471tnh1quxmz/Data_Sharma2020_Liver-Biliary.tar.gz?rlkey=hknvilto1ibp4loeal8f472pf&dl=1,,study-data/cell-types/20872,study-data/comments/20872,study-data/meta-programs/20872,,study-data/umap/20872,study-data/cell-cycle/20872,['HCC'],10x,0.75,['liverbiliary']
20875.0,Shih et al. 2018,Shih,2018,Ovarian cancer,SmartSeq2,18,3066,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0206785,https://www.dropbox.com/scl/fi/6nokx9keztpzzmi7m6hgn/Data_Shih2018_Ovarian.tar.gz?rlkey=b1m0ogls64dx66eqapoddc9ef&dl=1,,study-data/cell-types/20875,study-data/comments/20875,,study-data/cnas/20875,study-data/umap/20875,study-data/cell-cycle/20875,['Ovarian cancer'],SmartSeq2,0.75,['ovarian']
20878.0,Song et al. 2019,Song,2019,NSCLC,10x,6,8772,https://onlinelibrary.wiley.com/doi/10.1002/cam4.2113,https://www.dropbox.com/scl/fi/k7yd3cine5dmwsjgv839h/Data_Song2019_Lung.tar.gz?rlkey=y9ipfcxsu5btza7j8n2wvpnul&dl=1,,study-data/cell-types/20878,study-data/comments/20878,study-data/meta-programs/20878,study-data/cnas/20878,study-data/umap/20878,,['NSCLC'],10x,0.75,['lung']
20881.0,Song et al. 2022,Song,2022,Prostate cancer,Other,15,21743,https://www.nature.com/articles/s41467-021-27322-4,https://www.dropbox.com/scl/fi/5s1dheawh1e06hq2x50c9/Data_Song2022_Prostate.tar.gz?rlkey=mppjo7fese8taaxhyftionwn1&dl=1,,study-data/cell-types/20881,study-data/comments/20881,study-data/meta-programs/20881,study-data/cnas/20881,study-data/umap/20881,study-data/cell-cycle/20881,['Prostate cancer'],Seq-Well S3,1.0,['prostate']
20884.0,Steen et al. 2021,Steen,2021,DLBCL,10x,10,18197,https://www.cell.com/cancer-cell/fulltext/S1535-6108(21)00451-7,https://www.dropbox.com/scl/fi/25daxap2fv90knsbo8llo/Data_Steen2021_Hematologic.tar.gz?rlkey=ulbpn755ahzk9zfzfp9oj4vut&dl=1,,study-data/cell-types/20884,study-data/comments/20884,study-data/meta-programs/20884,study-data/cnas/20884,study-data/umap/20884,study-data/cell-cycle/20884,['DLBCL'],10x,1.0,['hematologic']
20887.0,Sun et al. 2021,Sun,2021,HCC CTCs,SmartSeq2,10,113,https://www.nature.com/articles/s41467-021-24386-0,https://www.dropbox.com/scl/fi/h1ojqztn4mxeuu6jemjvl/Data_Sun2021_Other-Models.tar.gz?rlkey=rf8wgaxsiys3wp177tqzkq3ft&dl=1,,study-data/cell-types/20887,study-data/comments/20887,,,study-data/umap/20887,study-data/cell-cycle/20887,['HCC CTCs'],SmartSeq2,0.5,['othermodels']
20890.0,Tang-Huau et al. 2018,Tang-Huau,2018,Ovarian cancer,10x,4,8404,https://www.nature.com/articles/s41467-018-04985-0,https://www.dropbox.com/scl/fi/6g78ztso1nquk84j9lv39/Data_Tang-Huau2018_Ovarian.tar.gz?rlkey=glh7c3ztq1g7rjmrb3t0s1sp8&dl=1,,study-data/cell-types/20890,study-data/comments/20890,,,study-data/umap/20890,study-data/cell-cycle/20890,['Ovarian cancer'],10x,0.5,['ovarian']
20893.0,Wu et al. 2021,Wu,2021,Breast cancer,10x,26,100064,https://www.nature.com/articles/s41588-021-00911-1,https://www.dropbox.com/scl/fi/tedg9e7b3x92tyd8kub5l/Data_Wu2021_Breast.tar.gz?rlkey=pftfny91obekk99h1hdad2wyn&dl=1,,study-data/cell-types/20893,study-data/comments/20893,study-data/meta-programs/20893,study-data/cnas/20893,study-data/umap/20893,study-data/cell-cycle/20893,['Breast cancer'],10x,1.0,['breast']
20896.0,Yost et al. 2019,Yost,2019,"BCC, SCC",10x,30,79046,https://www.nature.com/articles/s41591-019-0522-3,https://www.dropbox.com/scl/fi/i6tsjrqpou3oshuckl1bx/Data_Yost2019_Skin.tar.gz?rlkey=nueyzcdrjtnorevswcj7qpc6v&dl=1,,study-data/cell-types/20896,study-data/comments/20896,study-data/meta-programs/20896,study-data/cnas/20896,study-data/umap/20896,study-data/cell-cycle/20896,"['BCC', 'SCC']",10x,1.0,['skin']
20899.0,Zhang et al. 2018,Zhang,2018,Colorectal cancer,SmartSeq2,33,11138,https://www.nature.com/articles/s41586-018-0694-x,https://www.dropbox.com/scl/fi/eymfll83lzfg9vaon4zjy/Data_Zhang2018_Colorectal.tar.gz?rlkey=t10p0jb1scri0ibri71us18pz&dl=1,,study-data/cell-types/20899,study-data/comments/20899,study-data/meta-programs/20899,,study-data/umap/20899,study-data/cell-cycle/20899,['Colorectal cancer'],SmartSeq2,0.75,['colorectal']
20902.0,Zhang et al. 2019,Zhang,2019,Gastric cancer,10x,13,56440,https://www.sciencedirect.com/science/article/pii/S221112471930525X,https://www.dropbox.com/scl/fi/6nliacnqf4b46bg4so7p7/Data_Zhang2019_Other-Models.tar.gz?rlkey=50d3zby5p07b9ybzvwo9zwt9q&dl=1,,study-data/cell-types/20902,,study-data/meta-programs/20902,study-data/cnas/20902,study-data/umap/20902,study-data/cell-cycle/20902,['Gastric cancer'],10x,1.0,['othermodels']
20905.0,Zhang et al. 2019,Zhang,2019,Follicular lymphoma,10x,4,7002,https://www.nature.com/articles/s41592-019-0529-1,https://www.dropbox.com/scl/fi/mzap4shm86a00web6noev/Data_Zhang2019_Hematologic.tar.gz?rlkey=t0bdidcd4m9028hbiok0jxvah&dl=1,,study-data/cell-types/20905,study-data/comments/20905,study-data/meta-programs/20905,study-data/cnas/20905,study-data/umap/20905,study-data/cell-cycle/20905,['Follicular lymphoma'],10x,1.0,['hematologic']
20908.0,Zhang et al. 2019,Zhang,2019,HCC,10x,42,73261,https://www.sciencedirect.com/science/article/pii/S0092867419311195,https://www.dropbox.com/scl/fi/9zumng7o9jddfsqffu6yt/Data_Zhang2019_Liver-Biliary.tar.gz?rlkey=tot9jxh1jkpwvuprgsd2qd2i5&dl=1,,study-data/cell-types/20908,study-data/comments/20908,study-data/meta-programs/20908,,study-data/umap/20908,study-data/cell-cycle/20908,['HCC'],"10x, SmartSeq2",0.75,['liverbiliary']
20911.0,Zhang et al. 2019,Zhang,2019,HGSOC,10x,2,4848,https://www.nature.com/articles/s41592-019-0529-1,https://www.dropbox.com/scl/fi/xodvbb2ozhyde2rm83q9c/Data_Zhang2019_Ovarian.tar.gz?rlkey=r2p1s9uj370854h226llzxpt6&dl=1,,study-data/cell-types/20911,study-data/comments/20911,study-data/meta-programs/20911,study-data/cnas/20911,study-data/umap/20911,study-data/cell-cycle/20911,['HGSOC'],10x,1.0,['ovarian']
20914.0,Zhang et al. 2022,Zhang,2022,HGSOC,10x,22,51786,https://www.science.org/doi/10.1126/sciadv.abm1831,https://www.dropbox.com/scl/fi/o3z53txjhsh8jdxmfd0bt/Data_Zhang2022_Ovarian.tar.gz?rlkey=jd6qix1ntvu0tnasy6nbois5o&dl=1,,study-data/cell-types/20914,study-data/comments/20914,study-data/meta-programs/20914,,study-data/umap/20914,study-data/cell-cycle/20914,['HGSOC'],10x,0.75,['ovarian']
20917.0,Zheng et al. 2017,Zheng,2017,HCC,10x,17,5063,https://www.sciencedirect.com/science/article/pii/S0092867417305962,https://www.dropbox.com/scl/fi/mhgb601qt0ngrfupjiwpw/Data_Zheng2017_Liver-Biliary.tar.gz?rlkey=yy4cqa6q0nwhdnlqs6uozcird&dl=1,,study-data/cell-types/20917,study-data/comments/20917,study-data/meta-programs/20917,,study-data/umap/20917,study-data/cell-cycle/20917,['HCC'],10x,0.75,['liverbiliary']
20920.0,Zilionis et al. 2019,Zilionis,2019,NSCLC,inDrop,7,31179,https://www.sciencedirect.com/science/article/pii/S1074761319301268,https://www.dropbox.com/scl/fi/ot0tjg6254ne6hqzp11zv/Data_Zilionis2019_Lung.tar.gz?rlkey=kxqcfab6vaj043bvfkiepx2w9&dl=1,,study-data/cell-types/20920,study-data/comments/20920,study-data/meta-programs/20920,study-data/cnas/20920,study-data/umap/20920,study-data/cell-cycle/20920,['NSCLC'],inDrop,1.0,['lung']
133103.0,Ferrari de Andrade et al. 2019,Andrade,2019,Metastatic melanoma,10x,12,40823,https://insight.jci.org/articles/view/133103,https://www.dropbox.com/scl/fi/rvuoz5u690543hmo8osth/Data_Ferrari-de-Andrade2019_Skin.tar.gz?rlkey=zmhwl6g7gwv3xxx7qi3r1lrp7&dl=1,,study-data/cell-types/20782,study-data/comments/20782,study-data/meta-programs/20782,,study-data/umap/20782,study-data/cell-cycle/20782,['Metastatic melanoma'],10x,0.75,['skin']
6256973.0,Cui et al. 2021,Cui,2021,Pituitary neuroendocrine tumors,Other,23,2679,https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noab102/6256973,https://www.dropbox.com/scl/fi/5kzi47q86o48l9ez4mbns/Data_Cui2021_Other-Models.tar.gz?rlkey=owdiz8asjpnakhkc5aah34n7d&dl=1,,study-data/cell-types/20057,study-data/comments/20057,study-data/meta-programs/20057,,study-data/umap/20057,study-data/cell-cycle/20057,['Pituitary neuroendocrine tumors'],STRT seq,0.75,['othermodels']
